order_id,order_date,customer_name,city,state,country,region,category,sub_category,product_name,quantity,unit_price,discount,revenue,profit,payment_mode,source,log_revenue,log_profit,log_unit_price,has_discount,month_num,profit_margin,cluster_kmeans,cluster_dbscan,pca1,pca2,segment
1,2024-10-19,Kashvi Varty,Bangalore,Unknown,India,South,Books,Non-Fiction,Non-Fiction Ipsum,2,36294.0,5,68958.6,10525.09,Debit Card,EC_2024_2025,11.141276104856715,9.26161221613368,10.49943526971894,1,10,0.15262911370010188,2,0,-0.05123086372485642,-0.2824697345346672,Premium
2,2025-08-30,Advik Desai,Delhi,Unknown,India,North,Groceries,Rice,Rice Nemo,1,42165.0,20,33732.0,6299.66,Debit Card,EC_2024_2025,10.426231865695646,8.74840966879724,10.64936948807994,1,8,0.18675619589706552,2,0,-0.7955289836937548,-0.8413083086777523,Premium
3,2023-11-04,Rhea Kalla,Patna,Unknown,India,East,Kitchen,Juicer,Juicer Odio,4,64876.0,20,207603.2,19850.27,Credit Card,EC_2024_2025,12.243388661283095,9.896023263917579,11.080248448509378,1,11,0.095616397049756,2,0,1.5394243256109736,0.4848018537252898,Premium
4,2025-05-23,Anika Sen,Kolkata,Unknown,India,East,Groceries,Oil,Oil Doloribus,5,37320.0,15,158610.0,36311.02,UPI,EC_2024_2025,11.974209942650443,10.49990409491826,10.527311449886323,1,5,0.22893272807515144,2,0,1.5997398091968884,1.2083225261270032,Premium
5,2025-01-19,Akarsh Kaul,Pune,Unknown,India,West,Clothing,Kids Wear,Kids Wear Quo,1,50037.0,10,45033.3,9050.04,Debit Card,EC_2024_2025,10.71517970063085,9.110634947218577,10.820537995756524,1,1,0.20096328716749162,2,0,-0.3817183787202988,-0.9103839640740619,Premium
6,2025-04-06,Vardaniya Jayaraman,Pune,Unknown,India,West,Furniture,Chair,Chair Assumenda,5,40287.0,15,171219.75,23722.84,Credit Card,EC_2024_2025,12.050708938616284,10.074235728710617,10.603808936844073,1,4,0.13855200699685558,2,0,1.477011420785649,1.1771176653222772,Premium
7,2023-10-13,Drishya Khare,Mumbai,Unknown,India,West,Clothing,Accessories,Accessories Minima,2,3636.0,5,6908.4,680.26,Debit Card,EC_2024_2025,8.840638082311541,6.523944024768802,8.19891444498699,1,10,0.09846853106361843,0,0,-3.767016327345974,0.6417048418029371,Entree_gamme
8,2025-08-17,Misha Dua,Lucknow,Unknown,India,North,Books,Biography,Biography Vel,1,15885.0,10,14296.5,1289.03,Debit Card,EC_2024_2025,9.567839975789472,7.162420752899259,9.673193497193077,1,8,0.0901640261602427,0,0,-2.512682948953578,-0.450002983509243,Entree_gamme
9,2025-03-07,Arhaan Vala,Jaipur,Unknown,India,North,Groceries,Spices,Spices Expedita,1,40834.0,20,32667.2,3700.89,Credit Card,EC_2024_2025,10.39415740665852,8.216598779023695,10.617294835792377,1,3,0.11329070137630058,0,0,-1.0826283266026488,-0.8288759905223088,Entree_gamme
10,2024-12-02,Lavanya Hayer,Goa,Unknown,India,West,Kitchen,Juicer,Juicer Voluptatibus,2,16686.0,15,28366.2,5703.09,UPI,EC_2024_2025,10.252988827126718,8.648938740370776,9.722385252146903,1,12,0.2010523087336266,0,0,-1.215915764156516,0.030409174424402823,Entree_gamme
